"","gene_id","p_value","p_value_adj_FDR"
"4952","DKK1",3.77516129032258e-06,0.0105176366129032
"20215","ZNF557",4.65906666666667e-06,0.0105176366129032
"20022","ZNF266",5.22208333333333e-06,0.0105176366129032
"8363","IL19",6.54387096774194e-06,0.0105176366129032
"11428","MYO1H",1.392325e-05,0.0149548430769231
"17346","STC2",1.52474074074074e-05,0.0149548430769231
"2896","CAMK2N1",1.62830769230769e-05,0.0149548430769231
"13274","PGK1",2.43664285714286e-05,0.0195814711607143
"6286","FCGBP",4.82783333333333e-05,0.0344868227777778
"17479","SURF4",6.19733333333333e-05,0.039842656
"5735","EVPLL",7.54114285714286e-05,0.0425355736111111
"19214","USP10",7.93944444444444e-05,0.0425355736111111
"19982","ZNF20",9.04967741935484e-05,0.044754135483871
"11664","NDFIP1",0.000107423333333333,0.0447944337792642
"17797","TCP11",0.000119361904761905,0.0447944337792642
"10618","MASP1",0.000119658333333333,0.0447944337792642
"9786","LOC148709",0.00012284,0.0447944337792642
"7382","GRAP",0.0001263675,0.0447944337792642
"8988","KIAA1683",0.000152957142857143,0.0447944337792642
"20428","ZNF846",0.000160466666666667,0.0447944337792642
"6566","FOXA2",0.000163786666666667,0.0447944337792642
"16211","SLC26A9",0.00017264,0.0447944337792642
"10536","MAP2K7",0.000172858064516129,0.0447944337792642
"9157","KLRA1",0.000178213333333333,0.0447944337792642
"17355","STIP1",0.000179581818181818,0.0447944337792642
"13440","PITPNB",0.00018115652173913,0.0447944337792642
"2882","CALML5",0.000197034782608696,0.045356595
"7679","HDC",0.000200795454545455,0.045356595
"5428","EIF2AK1",0.000211038461538462,0.045356595
"16196","SLC25A45",0.00021165,0.045356595
"6044","FAM3D",0.000226756,0.0457377428571429
"11530","NAT10",0.000227657142857143,0.0457377428571429
"6634","FRMD4A",0.000242615384615385,0.0460344201081081
"11198","MS4A1",0.000256114285714286,0.0460344201081081
"5387","EFNB2",0.000257168253968254,0.0460344201081081
"7288","GPR15",0.000257788235294118,0.0460344201081081
"11998","NPB",0.000264936,0.0460344201081081
"15817","SET",0.0002736,0.0461570055
"4939","DKC1",0.00028336,0.0461570055
"3542","CELSR3",0.00028718,0.0461570055
"13661","PNMA5",0.000302673333333333,0.0474606551219512
"10772","MEIS1",0.0003154,0.0477012318181818
"14837","RFPL1",0.000325504347826087,0.0477012318181818
"10486","MAGIX",0.000326466666666667,0.0477012318181818
"13827","PPFIA3",0.0003404,0.0477836890577508
"13568","PLEKHG7",0.000343066666666667,0.0477836890577508
"19285","UTY",0.000349328571428571,0.0477836890577508
"19898","ZIK1",0.000397054054054054,0.049942067046961
"15924","SH3BP2",0.000421916666666667,0.049942067046961
"12810","P4HA1",0.000426857142857143,0.049942067046961
"5126","DOT1L",0.000437,0.049942067046961
"8306","IGJ",0.000449176470588235,0.049942067046961
"720","ANO2",0.000450171428571429,0.049942067046961
"652","ANKMY1",0.000450571428571429,0.049942067046961
"5934","FAM162B",0.000475961538461538,0.049942067046961
"16955","SNX6",0.00047614,0.049942067046961
"14614","RAPGEF5",0.000486,0.049942067046961
"6674","FTSJ2",0.000492121212121212,0.049942067046961
"9879","LOC284837",0.00053752380952381,0.049942067046961
"752","ANXA8L2",0.000556363636363636,0.049942067046961
"6345","FGD3",0.000562136363636364,0.049942067046961
"11447","MYOT",0.00059341935483871,0.049942067046961
"8191","ICAM3",0.0005976,0.049942067046961
"18401","TNFRSF4",0.000598473684210526,0.049942067046961
"17288","ST6GALNAC1",0.000601288888888889,0.049942067046961
"1282","AVPR2",0.000604714285714286,0.049942067046961
"18495","TP53INP1",0.000628428571428571,0.049942067046961
"20298","ZNF662",0.000632571428571429,0.049942067046961
"15591","SCNN1D",0.000633116279069767,0.049942067046961
"2812","CA5B",0.00063671875,0.049942067046961
"19218","USP14",0.000647926829268293,0.049942067046961
"6200","FBF1",0.0006622,0.049942067046961
"10399","LYPD2",0.000669,0.049942067046961
"14158","PRSS12",0.0006724375,0.049942067046961
"7492","GTF2F2",0.000687058823529412,0.049942067046961
"8863","KDM5D",0.000698285714285714,0.049942067046961
"18820","TTC21A",0.000699571428571429,0.049942067046961
"16962","SOCS1",0.000723809523809524,0.049942067046961
"19284","UTS2",0.000725448275862069,0.049942067046961
"11903","NLRP1",0.000726569230769231,0.049942067046961
"8357","IL17REL",0.000764372093023256,0.049942067046961
"6517","FLT3",0.00079846,0.049942067046961
"3250","CCR4",0.000837038961038961,0.049942067046961
"20248","ZNF589",0.000869058823529412,0.049942067046961
"857","AQP1",0.000887177777777778,0.049942067046961
"18242","TMEM220",0.000892484848484848,0.049942067046961
"11892","NLGN4Y",0.000898448275862069,0.049942067046961
"6303","FCRL1",0.000900380952380952,0.049942067046961
"9712","LOC100134713",0.00090378947368421,0.049942067046961
"7109","GNA12",0.000913,0.049942067046961
"4170","CPT1C",0.000949454545454545,0.049942067046961
"8023","HPRT1",0.000967130434782609,0.049942067046961
"15430","S1PR4",0.000969225806451613,0.049942067046961
"13130","PDE7B",0.00097,0.049942067046961
"20329","ZNF700",0.000973567567567568,0.049942067046961
"15342","RSPO1",0.000977258064516129,0.049942067046961
"18686","TRMT12",0.000982578947368421,0.049942067046961
"20411","ZNF823",0.00101056140350877,0.049942067046961
"19826","ZDHHC4",0.00102240909090909,0.049942067046961
"5913","FAM151A",0.00104082,0.049942067046961
"1170","ATP13A4",0.00104935714285714,0.049942067046961
"13444","PITPNM3",0.00105346153846154,0.049942067046961
"8547","IRAK4",0.0010857,0.049942067046961
"11646","NCRNA00183",0.00109963636363636,0.049942067046961
"3169","CCDC88C",0.00110833333333333,0.049942067046961
"1500","BLK",0.00111720634920635,0.049942067046961
"11349","MXD4",0.00113126666666667,0.049942067046961
"5211","DTHD1",0.00113788235294118,0.049942067046961
"4151","CPNE5",0.00113986666666667,0.049942067046961
